id,category,amount
0,Food,
1,Shopping,1232.01
2,Travel,3684.99
3,Utilities,443.82
4,Rent,168.6
5,Food,1101.0
6,Utilities,3014.07
7,Utilities,1002.2
8,Utilities,2103.4
9,Rent,2950.44
10,Food,3796.45
11,Travel,3493.72
12,Shopping,1396.58
13,Travel,4786.49
14,Shopping,520.03
15,Rent,492.61
16,Shopping,3022.59
17,Food,3651.36
18,Utilities,632.88
19,Rent,403.21
20,Shopping,4148.73
21,Utilities,4428.4
22,Shopping,2890.99
23,Food,238.66
24,Travel,3867.61
25,Food,4278.04
26,Food,1906.83
27,Rent,3182.07
28,Shopping,821.64
29,Shopping,1055.44
30,Shopping,3512.08
31,Food,3049.56
32,Travel,2675.36
33,Travel,825.38
34,Rent,1357.04
35,Utilities,1105.88
36,Shopping,4215.83
37,Food,1152.95
38,Food,4027.18
39,Rent,1346.03
40,Travel,4566.55
41,Utilities,4383.07
42,Shopping,1071.01
43,Rent,1984.2
44,Rent,722.93
45,Travel,1240.67
46,Utilities,2699.5
47,Utilities,2147.88
48,Utilities,2003.01
49,Travel,4986.66
50,Travel,2552.54
51,Food,3781.35
52,Food,772.68
53,Travel,3962.48
54,Rent,2986.08
55,Rent,1914.28
56,Rent,2650.28
57,Utilities,4305.29
58,Food,3404.61
59,Food,3411.73
60,Utilities,3756.88
61,Shopping,566.65
62,Rent,799.21
63,Food,4769.54
64,Shopping,4859.72
65,Travel,2543.33
66,Food,4353.89
67,Shopping,4209.93
68,Utilities,3048.76
69,Travel,1875.83
70,Travel,2701.5
71,Utilities,4593.28
72,Utilities,1627.54
73,Food,568.22
74,Shopping,4394.82
75,Shopping,1204.87
76,Travel,4391.27
77,Food,437.41
78,Rent,4081.96
79,Utilities,3831.51
80,Travel,3302.16
81,Utilities,833.98
82,Utilities,4363.44
83,Rent,4822.17
84,Utilities,3778.77
85,Travel,3567.62
86,Rent,4975.8
87,Shopping,2196.12
88,Utilities,2262.92
89,Travel,1131.24
90,Shopping,114.96
91,Utilities,1158.27
92,Travel,45.88
93,Food,1152.42
94,Food,4299.58
95,Food,2575.64
96,Shopping,3348.2
97,Travel,2700.78
98,Utilities,2885.3
99,Travel,3925.25
100,Rent,960.15
101,Food,3298.32
102,Shopping,2123.66
103,Rent,4320.55
104,Food,3370.09
105,Food,312.46
106,Shopping,4004.96
107,Food,1250.8
108,Travel,2686.07
109,Travel,2115.19
110,Shopping,2318.51
111,Food,2221.22
112,Utilities,498.56
113,Utilities,4181.78
114,Food,4632.57
115,Travel,839.89
116,Rent,2411.98
117,Rent,4513.19
118,Travel,1901.08
119,Rent,1333.36
120,Rent,1433.39
121,Utilities,3312.74
122,Rent,782.44
123,Shopping,1096.33
124,Food,2900.11
125,Utilities,314.18
126,Shopping,295.25
127,Utilities,2389.17
128,Utilities,795.59
129,Utilities,409.76
130,Travel,351.92
131,Food,3379.31
132,Travel,2024.84
133,Utilities,1238.61
134,Utilities,208.31
135,Food,2101.93
136,Utilities,2830.48
137,Shopping,4674.18
138,Travel,3351.93
139,Shopping,1201.04
140,Rent,663.08
141,Shopping,2291.55
142,Food,56.48
143,Utilities,4992.29
144,Food,375.57
145,Travel,2534.36
146,Travel,4666.96
147,Food,4397.56
148,Shopping,1432.09
149,Rent,4170.39
150,Shopping,3062.27
151,Utilities,49.04
152,Utilities,1503.9
153,Food,4695.26
154,Travel,1329.68
155,Food,3714.66
156,Travel,1369.02
157,Utilities,1061.04
158,Shopping,1025.95
159,Shopping,2531.99
160,Shopping,4527.63
